Type,SpecifiedButton,Pressed,TimePressed
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:15.615812
Absolute,JOYSTICK_LEFT,UP,10:24:16.009768
Absolute,TRIGGER_LEFT,NEUTRAL,10:24:16.221800
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:16.239728
Key,BTN_SOUTH,1,10:24:16.258676
Absolute,JOYSTICK_LEFT,RIGHT,10:24:16.265772
Key,BTN_SOUTH,0,10:24:16.393787
Absolute,TRIGGER_RIGHT,NEUTRAL,10:24:16.837739
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:24:17.229769
Key,BTN_SOUTH,1,10:24:17.265769
Absolute,JOYSTICK_LEFT,RIGHT,10:24:17.373693
Key,BTN_SOUTH,0,10:24:17.417798
Absolute,TRIGGER_RIGHT,PUSHED,10:24:17.501827
Key,BTN_EAST,1,10:24:18.149798
Absolute,JOYSTICK_LEFT,NEUTRAL,10:24:18.165799
Key,BTN_EAST,0,10:24:18.225784
Key,BTN_SOUTH,1,10:24:18.229777
Key,BTN_SOUTH,0,10:24:18.346824
Absolute,TRIGGER_RIGHT,NEUTRAL,10:24:18.481810
Key,BTN_TL,1,10:24:19.097793
Absolute,JOYSTICK_RIGHT,UP,10:24:19.113625
Key,BTN_TL,0,10:24:19.573780
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:19.578835
Absolute,JOYSTICK_LEFT,UP,10:24:19.633782
Key,BTN_SOUTH,1,10:24:19.633782
Key,BTN_SOUTH,0,10:24:19.725890
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:20.425802
Absolute,JOYSTICK_LEFT,RIGHT,10:24:20.509801
Absolute,JOYSTICK_RIGHT,RIGHT,10:24:21.421804
Absolute,JOYSTICK_RIGHT,UP_RIGHT,10:24:21.509781
Absolute,JOYSTICK_RIGHT,UP,10:24:21.549696
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:21.625805
Absolute,TRIGGER_RIGHT,PUSHED,10:24:21.653614
Absolute,TRIGGER_RIGHT,NEUTRAL,10:24:22.309794
Key,BTN_TL,1,10:24:22.353783
Absolute,JOYSTICK_RIGHT,RIGHT,10:24:22.381805
Key,BTN_TR,1,10:24:22.381897
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:22.505789
Key,BTN_TR,0,10:24:22.661767
Absolute,TRIGGER_RIGHT,PUSHED,10:24:22.701783
Key,BTN_TL,0,10:24:22.765803
Absolute,TRIGGER_RIGHT,NEUTRAL,10:24:24.041777
Absolute,TRIGGER_RIGHT,PUSHED,10:24:24.145766
Absolute,TRIGGER_RIGHT,NEUTRAL,10:24:24.249789
Absolute,TRIGGER_RIGHT,PUSHED,10:24:24.325800
Absolute,TRIGGER_RIGHT,NEUTRAL,10:24:27.189644
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:24:27.389803
Key,BTN_TR,1,10:24:27.566835
Key,BTN_TR,0,10:24:27.657799
Key,BTN_TR,1,10:24:27.733803
Key,BTN_TR,0,10:24:27.838817
Absolute,TRIGGER_RIGHT,PUSHED,10:24:27.977803
Absolute,JOYSTICK_LEFT,DOWN,10:24:28.689798
Absolute,TRIGGER_LEFT,PUSHED,10:24:28.729798
Absolute,TRIGGER_LEFT,NEUTRAL,10:24:29.165791
Absolute,TRIGGER_RIGHT,NEUTRAL,10:24:29.725799
Absolute,JOYSTICK_RIGHT,LEFT,10:24:30.077835
Absolute,JOYSTICK_LEFT,NEUTRAL,10:24:30.142813
Absolute,JOYSTICK_LEFT,LEFT,10:24:30.753797
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:31.177796
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:24:31.373795
Absolute,JOYSTICK_LEFT,DOWN,10:24:31.409689
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:24:31.565907
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:24:31.921796
Absolute,JOYSTICK_RIGHT,LEFT,10:24:32.061803
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:32.413807
Absolute,JOYSTICK_LEFT,DOWN,10:24:32.513809
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:24:33.177802
