Type,SpecifiedButton,Pressed,TimePressed
Key,BTN_TR,1,10:42:30.859194
Key,BTN_EAST,0,10:42:30.867412
Key,BTN_TL,0,10:42:32.107467
Key,BTN_TR,0,10:42:32.139414
Absolute,TRIGGER_LEFT,NEUTRAL,10:42:32.151409
Absolute,TRIGGER_RIGHT,NEUTRAL,10:42:32.391395
Absolute,TRIGGER_RIGHT,PUSHED,10:42:39.491288
Absolute,TRIGGER_LEFT,PUSHED,10:42:39.499437
Absolute,TRIGGER_LEFT,NEUTRAL,10:42:41.295445
Absolute,TRIGGER_RIGHT,NEUTRAL,10:42:41.347439
Absolute,TRIGGER_RIGHT,PUSHED,10:42:43.215481
Absolute,TRIGGER_LEFT,PUSHED,10:42:43.243488
Absolute,TRIGGER_LEFT,NEUTRAL,10:42:44.355442
Absolute,TRIGGER_RIGHT,NEUTRAL,10:42:44.403421
Absolute,JOYSTICK_LEFT,LEFT,10:42:46.551477
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:42:47.339462
Absolute,JOYSTICK_LEFT,DOWN,10:42:47.403480
Absolute,JOYSTICK_LEFT,NEUTRAL,10:42:48.307447
Absolute,TRIGGER_LEFT,PUSHED,10:42:48.643271
Absolute,TRIGGER_RIGHT,PUSHED,10:42:48.651260
Absolute,TRIGGER_LEFT,NEUTRAL,10:42:49.775444
Absolute,TRIGGER_RIGHT,NEUTRAL,10:42:49.779242
Absolute,DPAD_UP,-1,10:42:55.328598
Absolute,DPAD_UP,0,10:42:55.475428
Absolute,DPAD_UP,-1,10:42:56.104558
Absolute,DPAD_UP,0,10:42:56.243516
Absolute,DPAD_UP,-1,10:42:58.631323
Absolute,DPAD_UP,0,10:42:58.759428
Absolute,DPAD_RIGHT,1,10:43:00.320413
Absolute,DPAD_RIGHT,0,10:43:00.447462
Absolute,DPAD_UP,-1,10:43:06.132420
Absolute,DPAD_UP,0,10:43:06.243499
Absolute,DPAD_UP,-1,10:43:16.171616
Absolute,DPAD_UP,0,10:43:16.279469
Absolute,DPAD_LEFT,-1,10:43:17.235451
Absolute,DPAD_LEFT,0,10:43:17.379481
Absolute,DPAD_UP,-1,10:43:20.263556
Absolute,DPAD_UP,0,10:43:20.415506
Absolute,DPAD_DOWN,1,10:43:20.880591
Absolute,DPAD_DOWN,0,10:43:21.023516
Absolute,DPAD_DOWN,1,10:43:24.675505
Absolute,DPAD_DOWN,0,10:43:24.826814
Absolute,DPAD_UP,-1,10:43:26.400380
Absolute,DPAD_UP,0,10:43:26.531524
Absolute,DPAD_UP,-1,10:43:29.327577
Absolute,DPAD_UP,0,10:43:29.411470
Absolute,DPAD_RIGHT,1,10:43:30.532614
Absolute,DPAD_RIGHT,0,10:43:30.603419
Absolute,DPAD_RIGHT,1,10:43:31.327321
Absolute,DPAD_RIGHT,0,10:43:31.403537
Absolute,DPAD_DOWN,1,10:43:34.141841
Absolute,DPAD_DOWN,0,10:43:34.408305
Absolute,DPAD_RIGHT,1,10:43:35.112640
Absolute,DPAD_RIGHT,0,10:43:35.275524
Absolute,DPAD_DOWN,1,10:43:38.362809
Absolute,DPAD_DOWN,0,10:43:38.471481
Absolute,DPAD_LEFT,-1,10:43:39.227378
Absolute,DPAD_LEFT,0,10:43:39.331504
Absolute,DPAD_DOWN,1,10:43:41.927611
Absolute,DPAD_DOWN,0,10:43:42.047386
Absolute,DPAD_DOWN,1,10:43:42.447599
Absolute,DPAD_DOWN,0,10:43:42.587550
